Period,Date,Status,Income,Outflows,Begin Total Savings,Amount To Save,End Total Savings,Amount Saved,Savings Value Change,Savings Return,Savings Return Annualized,Begin Investment Portfolio,Investment Return,Amount To Invest,End Investment Portfolio,Portfolio Value Change,Investment Return Annualized,Cumulative Returns,Drawdown,Begin Total Assets,End Total Assets,Total Assets Value Change,Total Assets Return
1,03/01/2024,employed,4800.0,2146.67,,2653.33,11037.52,2653.33,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,11037.52,,
2,03/31/2024,employed,4800.0,2146.67,11037.52,2653.33,13729.51,2653.33,2691.98,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11037.52,13729.51,2691.98,0.24
3,04/30/2024,employed,4800.0,2146.67,13729.51,2653.33,16432.66,2653.33,2703.15,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13729.51,16432.66,2703.15,0.2
4,05/30/2024,employed,4800.0,2146.67,16432.66,2653.33,19147.03,2653.33,2714.37,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16432.66,19147.03,2714.37,0.17
5,06/29/2024,employed,6000.0,2146.67,19147.03,3853.33,21871.53,3853.33,2724.5,-0.07,-0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19147.03,21871.53,2724.5,0.14
6,07/29/2024,employed,6000.0,2146.67,21871.53,3853.33,25805.74,3853.33,3934.21,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21871.53,25805.74,3934.21,0.18
7,08/28/2024,employed,6000.0,2146.67,25805.74,3853.33,29749.68,3853.33,3943.94,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25805.74,29749.68,3943.94,0.15
8,09/27/2024,employed,6000.0,2146.67,29749.68,3853.33,33703.37,3853.33,3953.7,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29749.68,33703.37,3953.7,0.13
9,10/27/2024,employed,6000.0,2146.67,33703.37,3853.33,37666.71,3853.33,3963.33,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33703.37,37666.71,3963.33,0.12
10,11/26/2024,employed,6000.0,2146.67,37666.71,3853.33,41639.7,3732.43,3972.99,0.01,0.09,0.0,0.0,120.91,120.91,120.91,0.0,0.0,0.0,37666.71,41760.61,4093.9,0.11
11,12/26/2024,employed,6000.0,2146.67,41639.7,3853.33,45501.17,0.0,3861.47,0.09,1.11,120.91,8.03,3853.33,3982.27,3861.36,96.33,8.03,0.0,41760.61,49483.43,7722.83,0.18
12,01/25/2025,employed,6000.0,2146.67,45501.17,3853.33,45630.21,0.0,129.04,0.0,0.03,3982.27,-30.08,3853.33,7805.53,3823.26,-360.91,-22.05,-3.75,49483.43,53435.73,3952.3,0.08
13,02/24/2025,employed,6090.0,2146.67,45630.21,3943.33,45759.25,0.0,129.04,0.0,0.03,7805.53,74.55,3943.33,11823.41,4017.88,894.59,52.5,5.54,53435.73,57582.66,4146.92,0.08
14,03/26/2025,employed,6090.0,2178.87,45759.25,3911.13,45888.29,0.0,129.04,0.0,0.03,11823.41,264.84,3911.13,15999.38,4175.97,3178.1,317.34,5.04,57582.66,61887.67,4305.02,0.07
15,04/25/2025,employed,6090.0,2178.87,45888.29,3911.13,46017.33,0.0,129.04,0.0,0.03,15999.38,-298.04,3911.13,19612.48,3613.1,-3576.45,19.31,-0.94,61887.67,65629.81,3742.14,0.06
16,05/25/2025,employed,6090.0,2178.87,46017.33,3911.13,46146.37,0.0,129.04,0.0,0.03,19612.48,166.63,3911.13,23690.24,4077.76,1999.58,185.94,-0.41,65629.81,69836.62,4206.81,0.06
17,06/24/2025,employed,6090.0,2178.87,46146.37,3911.13,46275.42,0.0,129.04,0.0,0.03,23690.24,198.88,3911.13,27800.25,4110.01,2386.51,384.81,0.21,69836.62,74075.67,4239.05,0.06
